id,lat,lon,timestamp,source_url,license,name,kind,description
wd-Q21819994-louis-augustin-d-hombres-firmas,44.127222222,4.080833333,1776-06-04T00:00:00Z,https://www.wikidata.org/wiki/Q21819994,CC-BY-SA-4.0,Louis Augustin d'Hombres-Firmas,physicist,"French naturalist, agronomist and politician"
wd-Q22669836-johann-heinrich-voigt,50.948888888,10.718333333,1751-06-27T00:00:00Z,https://www.wikidata.org/wiki/Q22669836,CC-BY-SA-4.0,Johann Heinrich Voigt,physicist,German mathematician and astronomer (1751-1823)
wd-Q23061005-gottwald-schuster,50.927222222,11.586388888,1701-12-28T00:00:00Z,https://www.wikidata.org/wiki/Q23061005,CC-BY-SA-4.0,Gottwald Schuster,physicist,German physician
wd-Q23796567-angelo-bellani,45.583611111,9.273611111,1776-10-31T00:00:00Z,https://www.wikidata.org/wiki/Q23796567,CC-BY-SA-4.0,Angelo Bellani,physicist,Italian physicist
wd-Q23843254-giovanni-alessandro-majocchi,45.16,9.705,1795-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q23843254,CC-BY-SA-4.0,Giovanni Alessandro Majocchi,physicist,Italian physicist (1795-1854)
wd-Q23938573-j-zsef-j-nos-nemetz,47.466666666,19.05,1753-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q23938573,CC-BY-SA-4.0,József János Nemetz,physicist,Hungarian physicist
wd-Q26214431-fran-ois-gu-neau-de-mussy,47.490833333,4.332777777,1774-06-11T00:00:00Z,https://www.wikidata.org/wiki/Q26214431,CC-BY-SA-4.0,François Guéneau de Mussy,physicist,French physicist (1774-1853)
wd-Q27750744-gustaf-klingvall,57.257319444,18.62525,1786-03-23T00:00:00Z,https://www.wikidata.org/wiki/Q27750744,CC-BY-SA-4.0,Gustaf Klingvall,physicist,
wd-Q28203057-thomas-jackson,55.07,-3.603055555,1773-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q28203057,CC-BY-SA-4.0,Thomas Jackson,physicist,Scottish physicist
wd-Q21126926-giovanni-francesco-fromond,45.133333333,10.024722222,1739-09-17T00:00:00Z,https://www.wikidata.org/wiki/Q21126926,CC-BY-SA-4.0,Giovanni Francesco Fromond,physicist,"Italian priest, physicist and translator (1739-1785)"
wd-Q21166440-joseph-tienne-bertier,43.527777777,5.445555555,1702-12-31T00:00:00Z,https://www.wikidata.org/wiki/Q21166440,CC-BY-SA-4.0,Joseph-Étienne Bertier,physicist,French physicist (1702–1783)
wd-Q29351858-georg-christoph-schwarz,49.453888888,11.0775,1732-08-02T00:00:00Z,https://www.wikidata.org/wiki/Q29351858,CC-BY-SA-4.0,Georg Christoph Schwarz,physicist,German philosopher and university teacher (1732-1792)
wd-Q29790676-gaspard-le-compasseur-de-cr-qui-montfort-marquis-de-courtivron,47.5395,4.9685,1715-02-28T00:00:00Z,https://www.wikidata.org/wiki/Q29790676,CC-BY-SA-4.0,Gaspard Le Compasseur de Créqui-Montfort marquis de Courtivron,physicist,"French nobleman, knight and scientist"
wd-Q29832904-pierre-louis-ath-nas,48.856666666,2.352222222,1752-02-03T00:00:00Z,https://www.wikidata.org/wiki/Q29832904,CC-BY-SA-4.0,Pierre-Louis Athénas,physicist,
wd-Q30158453-liberato-baccelli,43.85,10.516666666,1772-11-18T00:00:00Z,https://www.wikidata.org/wiki/Q30158453,CC-BY-SA-4.0,Liberato Baccelli,physicist,Italian physicist (1772-1835)
wd-Q38716628-jean-philibert-dessaignes,45.043333333,3.885,1762-12-27T00:00:00Z,https://www.wikidata.org/wiki/Q38716628,CC-BY-SA-4.0,Jean-Philibert Dessaignes,physicist,
