id,lat,lon,timestamp,source_url,license,title,kind,description
wd-Q50396434-2018-north-korea-united-states-singapore-summit,1.249444444,103.824444444,2018-06-12T00:00:00Z,https://www.wikidata.org/wiki/Q50396434,CC-BY-SA-4.0,2018 North Korea–United States Singapore Summit,summit,meeting between Donald Trump and Kim Jong-un
wd-Q30084473-44th-g7-summit,47.620555555,-70.145555555,2018-06-09T00:00:00Z,https://www.wikidata.org/wiki/Q30084473,CC-BY-SA-4.0,44th G7 summit,summit,Summit of the Heads of Government of the Group of Seven
wd-Q54228877-may-2018-inter-korean-summit,37.96,126.68,2018-05-26T00:00:00Z,https://www.wikidata.org/wiki/Q54228877,CC-BY-SA-4.0,May 2018 inter-Korean summit,summit,2nd inter-Korean summit meeting held in 2018
wd-Q50396447-april-2018-inter-korean-summit,37.9558,126.6767,2018-04-27T00:00:00Z,https://www.wikidata.org/wiki/Q50396447,CC-BY-SA-4.0,April 2018 inter-Korean summit,summit,summit between Korean peninsula leaders Kim Jong-un and Moon Jae-in
wd-Q25067722-43rd-g7-summit,37.853714516,15.289220244,2017-05-27T00:00:00Z,https://www.wikidata.org/wiki/Q25067722,CC-BY-SA-4.0,43rd G7 summit,summit,2017 international leaders meeting
wd-Q19588626-2016-g20-hangzhou-summit,30.25,120.1675,2016-09-05T00:00:00Z,https://www.wikidata.org/wiki/Q19588626,CC-BY-SA-4.0,2016 G20 Hangzhou summit,summit,11th meeting of the Group of Twenty (G20)
wd-Q20054001-42nd-g7-summit,34.3083,136.819,2016-05-26T00:00:00Z,https://www.wikidata.org/wiki/Q20054001,CC-BY-SA-4.0,42nd G7 summit,summit,2016 international leaders meeting
wd-Q19849335-first-xi-ma-meeting,1.311222222,103.826444444,2015-11-07T00:00:00Z,https://www.wikidata.org/wiki/Q19849335,CC-BY-SA-4.0,First Xi–Ma Meeting,summit,meeting between China leader Xi Jinping and Taiwan leader Ma Ying-jeou
wd-Q16959306-41st-g7-summit,47.461916666,11.186097222,2015-06-07T00:00:00Z,https://www.wikidata.org/wiki/Q16959306,CC-BY-SA-4.0,41st G7 summit,summit,2015 international leaders meeting
wd-Q12857637-40th-g7-summit,43.6,39.717,2014-06-04T00:00:00Z,https://www.wikidata.org/wiki/Q12857637,CC-BY-SA-4.0,40th G7 summit,summit,2014 international leaders meeting
wd-Q16511440-g7-special-meeting-in-the-hague-in-2014,52.08,4.32,2014-03-24T00:00:00Z,https://www.wikidata.org/wiki/Q16511440,CC-BY-SA-4.0,G7 Special Meeting in The Hague in 2014,summit,G7 special meeting held in The Hague in 2014
wd-Q4629377-2013-g20-saint-petersburg-summit,59.8536,30.0597,2013-09-06T00:00:00Z,https://www.wikidata.org/wiki/Q4629377,CC-BY-SA-4.0,2013 G20 Saint Petersburg summit,summit,eighth meeting of the G-20 heads of government
wd-Q65250-39th-g8-summit,54.3978,-7.6933,2013-06-18T00:00:00Z,https://www.wikidata.org/wiki/Q65250,CC-BY-SA-4.0,39th G8 summit,summit,2013 international leaders meeting
wd-Q4115043-16th-summit-of-the-non-aligned-movement,35.7953,51.4034,2012-08-26T00:00:00Z,https://www.wikidata.org/wiki/Q4115043,CC-BY-SA-4.0,16th Summit of the Non-Aligned Movement,summit,"2012 Non-Aligned Movement Summit in Tehran, Iran"
