id,lat,lon,timestamp,source_url,license,title,kind,description
wd-Q127038517-battle-of-ransbeek,50.910214,4.401392,http://www.wikidata.org/.well-known/genid/9794c3dc49590432e75966bb9d015c19,https://www.wikidata.org/wiki/Q127038517,CC-BY-SA-4.0,Battle of Ransbeek,battle,1142 or 1147 battle of the Grimbergen Wars fought at Ransbeek
wd-Q470596-year-of-the-four-emperors,41.9,12.5,0068-06-01T00:00:00Z,https://www.wikidata.org/wiki/Q470596,CC-BY-SA-4.0,Year of the Four Emperors,war,battles for succession to rule the Roman Empire (AD 69)
wd-Q131697875-third-gupta-interregnum,25.566654,83.288943,0455-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q131697875,CC-BY-SA-4.0,Third Gupta Interregnum,war,
wd-Q18148539-tikal-calakmul-wars,19.5511,-89.2964,0537-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q18148539,CC-BY-SA-4.0,Tikal–Calakmul wars,war,537–838 series of wars in Mesoamerica
wd-Q85760625-fatimid-conquest-of-egypt,30,31.233333333,0969-02-11T00:00:00Z,https://www.wikidata.org/wiki/Q85760625,CC-BY-SA-4.0,Fatimid conquest of Egypt,war,10th-century conquest
wd-Q1187448-zenkunen-war,38.9,140.683,1051-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1187448,CC-BY-SA-4.0,Zenkunen War,war,war
wd-Q743768-the-anarchy,49,0,1135-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q743768,CC-BY-SA-4.0,The Anarchy,war,civil war in England and Normandy between 1135 and 1153
wd-Q842357-h-gen-rebellion,35.0117,135.768,1156-07-28T00:00:00Z,https://www.wikidata.org/wiki/Q842357,CC-BY-SA-4.0,Hōgen rebellion,war,civil war in Japan (1156–1156)
wd-Q1372308-j-ky-war,35.0116667,135.768333,1221-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1372308,CC-BY-SA-4.0,Jōkyū War,war,"Japanese civil war (1221) between Retired Emperor Go-Toba and the Hōjō clan, regents of the Kamakura shogunate"
wd-Q20582803-khwarazmian-campaigns-in-georgia,41.45,44.533333333,1225-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q20582803,CC-BY-SA-4.0,Khwarazmian campaigns in Georgia,war,1225–1229 series of wars
wd-Q4301653-mongol-conquest-of-anatolia,39,35,1241-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q4301653,CC-BY-SA-4.0,Mongol conquest of Anatolia,war,1241–1335 Mongol conquests in Anatolia
wd-Q1305130-war-of-saint-sabas,32.9275,35.08166667,1256-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1305130,CC-BY-SA-4.0,War of Saint Sabas,war,war
wd-Q21081322-battle-of-the-strait,35.971666666,-5.485833333,1288-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q21081322,CC-BY-SA-4.0,Battle of the Strait,war,1274–1350 war phase in the Reconquista
wd-Q20875683-catalan-genoese-war,44.410833333,8.932222222,1330-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q20875683,CC-BY-SA-4.0,Catalan–Genoese War,war,1330–1336 war
wd-Q638850-smyrniote-crusades,38.4,27.1,1343-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q638850,CC-BY-SA-4.0,Smyrniote crusades,war,14th-century crusades
wd-Q698985-ottoman-wars-in-europe,42,22,1354-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q698985,CC-BY-SA-4.0,Ottoman Wars in Europe,war,series of military conflicts between the Ottoman Empire and various European states
wd-Q1788506-alexandrian-crusade,31.19972222,29.87111111,1365-10-17T00:00:00Z,https://www.wikidata.org/wiki/Q1788506,CC-BY-SA-4.0,Alexandrian Crusade,war,14ht-century crusade
wd-Q110425494-timur-s-conquest-of-zamindawar-and-war-with-the-qara-unas,32.4672,65.2745,1383-12-01T00:00:00Z,https://www.wikidata.org/wiki/Q110425494,CC-BY-SA-4.0,Timur's conquest of Zamindawar and war with the Qara'unas,war,
wd-Q18008303-crusade-of-tedelis,36.9167,3.88333,1398-08-01T00:00:00Z,https://www.wikidata.org/wiki/Q18008303,CC-BY-SA-4.0,Crusade of Tedelis,war,1398 religious war
wd-Q20640745-bona-crusade,36.9,7.766666666,1399-09-08T00:00:00Z,https://www.wikidata.org/wiki/Q20640745,CC-BY-SA-4.0,Bona crusade,war,1399 religious war
wd-Q1382146-everstein-feud,51.8995,9.54882,1404-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1382146,CC-BY-SA-4.0,Everstein Feud,war,
wd-Q1112854-ming-h-war,20.078055555,105.604722222,1406-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1112854,CC-BY-SA-4.0,Ming–Hồ War,war,war
wd-Q2506432-wars-in-lombardy,45.65,9.95,1423-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2506432,CC-BY-SA-4.0,Wars in Lombardy,war,wars in Northern Italy in the first half of the 15th century.
wd-Q385676-nin-war,34.8819,135.8006,1467-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q385676,CC-BY-SA-4.0,Ōnin War,war,15th-century civil war in Japan
wd-Q2318299-rorschacher-klosterbruch,47.466666666,9.483333333,1489-08-06T00:00:00Z,https://www.wikidata.org/wiki/Q2318299,CC-BY-SA-4.0,Rorschacher Klosterbruch,war,1489-90 Swiss conflict
wd-Q1355145-italian-war-of-1494-1495,42.5,12.5,1494-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1355145,CC-BY-SA-4.0,Italian War of 1494–1495,war,war
wd-Q165136-swabian-war,46.798562,8.231973,1499-02-01T00:00:00Z,https://www.wikidata.org/wiki/Q165136,CC-BY-SA-4.0,Swabian War,war,war in 1499
wd-Q9001174-second-war-of-naples,40.33333333,15.83333333,1501-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q9001174,CC-BY-SA-4.0,Second War of Naples,war,
wd-Q923852-crimean-russian-wars,55.5,37.533333333,1507-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q923852,CC-BY-SA-4.0,Crimean-Russian Wars,war,1570-1572 war
wd-Q131384776-kazakh-nogai-war,39.666666666,66.983333333,1515-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q131384776,CC-BY-SA-4.0,Kazakh-Nogai War,war,1515-1521 war
wd-Q1429256-war-of-the-league-of-cognac,42.5,12.5,1526-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1429256,CC-BY-SA-4.0,War of the League of Cognac,war,conflict
wd-Q136192521-q136192521,36.551805555,140.415361111,1528-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q136192521,CC-BY-SA-4.0,Q136192521,war,
wd-Q1763918-inca-civil-war,-9.4,-76,1529-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1763918,CC-BY-SA-4.0,Inca Civil War,war,war of succession just before the Spanish conquest
wd-Q3298746-war-of-the-portuguese-succession,39,-9,1580-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3298746,CC-BY-SA-4.0,War of the Portuguese Succession,war,1580-1583 armed conflict in Portugal
wd-Q1361199-conquest-of-the-khanate-of-sibir,60,105,1581-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1361199,CC-BY-SA-4.0,Conquest of the Khanate of Sibir,war,1582 first Russian conquest in Siberia
wd-Q524189-cologne-war,50.733888888,7.1,1583-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q524189,CC-BY-SA-4.0,Cologne War,war,war
wd-Q3119092-franco-savoyard-war-1600-1601,45.58333333,6.33333333,1600-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3119092,CC-BY-SA-4.0,Franco-Savoyard War (1600–1601),war,european war
wd-Q1044829-polish-muscovite-war,50.05,19.93,1605-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1044829,CC-BY-SA-4.0,Polish–Muscovite War,war,1605–1618 sequence of military conflicts and eastward invasions
wd-Q1962709-ingrian-war,59.6333,29.3,1610-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1962709,CC-BY-SA-4.0,Ingrian War,war,1610's military conflict
wd-Q3778677-valtellina-war,46.16666667,9.86666667,1620-07-01T00:00:00Z,https://www.wikidata.org/wiki/Q3778677,CC-BY-SA-4.0,Valtellina War,war,war in Northern Italy between pro-Habsburg and anti-Habsburg forces; part of the Thirty Years' War
wd-Q15867770-naval-war-on-lake-constance,47.59371,9.424906,1632-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q15867770,CC-BY-SA-4.0,Naval War on Lake Constance,war,series of conflicts during the Thirty Years' War
wd-Q134877741-patani-siamese-war,6.866666666,101.25,1633-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q134877741,CC-BY-SA-4.0,Patani–Siamese War,war,c. 1633–1634 war
