id,lat,lon,timestamp,source_url,license,sponsor,country,application_number,brand,generic,route,dosage_form,pharm_class,marketing_status,submission_type
ANDA088087,NaN,NaN,1983-06-07T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088087,openFDA-public,PHARMAFAIR,??,ANDA088087,KAINAIR,PROPARACAINE HYDROCHLORIDE,OPHTHALMIC,SOLUTION/DROPS,,Discontinued,ORIG
ANDA088409,NaN,NaN,1984-11-20T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088409,openFDA-public,MUTUAL PHARM,??,ANDA088409,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA088726,NaN,NaN,1986-08-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088726,openFDA-public,RISING,??,ANDA088726,CHLORPROPAMIDE,CHLORPROPAMIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA203023,19.076,72.8777,2017-06-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203023,openFDA-public,SUN PHARM,IN,ANDA203023,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,ORAL,"CAPSULE, EXTENDED RELEASE",,Discontinued,ORIG
NDA203415,35.6895,139.6917,2015-10-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203415,openFDA-public,ASTELLAS,JP,NDA203415,XTANDI,ENZALUTAMIDE,ORAL,CAPSULE,Androgen Receptor Inhibitor [EPC],Prescription,SUPPL
ANDA203808,NaN,NaN,2015-08-04T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203808,openFDA-public,EDENBRIDGE PHARMS,??,ANDA203808,TINIDAZOLE,TINIDAZOLE,ORAL,TABLET,Nitroimidazole Antimicrobial [EPC],Prescription,ORIG
ANDA090642,NaN,NaN,2015-01-05T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090642,openFDA-public,WATSON LABS INC,??,ANDA090642,VALSARTAN,VALSARTAN,ORAL,TABLET,,Discontinued,ORIG
ANDA090963,NaN,NaN,2019-08-31T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090963,openFDA-public,HIKMA FARMACEUTICA,??,ANDA090963,GLYCOPYRROLATE,GLYCOPYRROLATE,INJECTION,INJECTABLE,,Prescription,SUPPL
ANDA091307,NaN,NaN,2019-10-21T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091307,openFDA-public,LUITPOLD,??,ANDA091307,METOPROLOL TARTRATE,METOPROLOL TARTRATE,INJECTION,INJECTABLE,,Discontinued,SUPPL
ANDA091637,NaN,NaN,2018-06-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091637,openFDA-public,SAGENT PHARMS,??,ANDA091637,HALOPERIDOL,HALOPERIDOL LACTATE,INJECTION,INJECTABLE,,Prescription,SUPPL
ANDA201168,NaN,NaN,2026-01-30T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201168,openFDA-public,ALEMBIC,??,ANDA201168,LAMOTRIGINE,LAMOTRIGINE,ORAL,"TABLET, FOR SUSPENSION",Anti-epileptic Agent [EPC],Prescription,SUPPL
ANDA200296,17.385,78.4867,2020-08-06T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200296,openFDA-public,AUROBINDO PHARMA LTD,IN,ANDA200296,RISEDRONATE SODIUM,RISEDRONATE SODIUM,ORAL,TABLET,,Prescription,SUPPL
ANDA201952,NaN,NaN,2025-12-22T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201952,openFDA-public,MICRO LABS LTD INDIA,??,ANDA201952,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN,ORAL,TABLET,,Prescription,SUPPL
ANDA202327,NaN,NaN,2025-12-29T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202327,openFDA-public,WATSON LABS INC,??,ANDA202327,SITAGLIPTIN PHOSPHATE,SITAGLIPTIN PHOSPHATE,ORAL,TABLET,,Prescription,ORIG
ANDA202677,NaN,NaN,2025-12-23T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202677,openFDA-public,ALVOGEN,??,ANDA202677,OXYCODONE AND ACETAMINOPHEN,ACETAMINOPHEN,ORAL,TABLET,,Prescription,SUPPL
ANDA207659,NaN,NaN,2025-01-27T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207659,openFDA-public,ACCORD HLTHCARE,??,ANDA207659,ACETAZOLAMIDE,ACETAZOLAMIDE,ORAL,"CAPSULE, EXTENDED RELEASE",Carbonic Anhydrase Inhibitor [EPC],Prescription,SUPPL
NDA009053,NaN,NaN,1985-11-20T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009053,openFDA-public,STASON PHARMS,??,NDA009053,PURINETHOL,MERCAPTOPURINE,ORAL,TABLET,,Prescription,SUPPL
ANDA208445,NaN,NaN,2019-03-11T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208445,openFDA-public,ZYDUS PHARMS,??,ANDA208445,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,ORAL,"CAPSULE, EXTENDED RELEASE",,Prescription,ORIG
ANDA204171,NaN,NaN,2017-02-23T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204171,openFDA-public,LANNETT CO INC,??,ANDA204171,ARIPIPRAZOLE,ARIPIPRAZOLE,ORAL,SOLUTION,Atypical Antipsychotic [EPC],Prescription,SUPPL
ANDA204555,NaN,NaN,2014-10-31T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204555,openFDA-public,HENGRUI PHARMA,??,ANDA204555,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,INJECTION,INJECTABLE,,Prescription,ORIG
ANDA204918,NaN,NaN,2024-07-12T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204918,openFDA-public,RISING,??,ANDA204918,ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,INJECTION,INJECTABLE,,Discontinued,ORIG
ANDA205345,NaN,NaN,2023-08-04T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205345,openFDA-public,HETERO LABS LTD V,??,ANDA205345,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,ORAL,TABLET,P2Y12 Platelet Inhibitor [EPC],Prescription,ORIG
NDA205765,NaN,NaN,2013-07-05T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205765,openFDA-public,LINDE NORTH AMERICA INC,??,NDA205765,"MEDICAL AIR, USP",MEDICAL AIR,INHALATION,GAS,,Prescription,ORIG
ANDA206106,NaN,NaN,2017-12-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206106,openFDA-public,SAGENT PHARMS INC,??,ANDA206106,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,INJECTION,INJECTABLE,,Prescription,ORIG
ANDA206529,19.076,72.8777,2016-12-28T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206529,openFDA-public,LUPIN LTD,IN,ANDA206529,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,ORAL,TABLET,,None (Tentative Approval),ORIG
ANDA206924,NaN,NaN,2020-12-31T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206924,openFDA-public,HISUN PHARM HANGZHOU,??,ANDA206924,OLANZAPINE,OLANZAPINE,ORAL,TABLET,Atypical Antipsychotic [EPC],Discontinued,ORIG
ANDA207299,NaN,NaN,2025-01-07T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207299,openFDA-public,MACLEODS PHARMS LTD,??,ANDA207299,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",AMLODIPINE BESYLATE,ORAL,TABLET,Angiotensin 2 Receptor Blocker [EPC],Prescription,ORIG
ANDA212262,NaN,NaN,2019-06-27T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212262,openFDA-public,PRAXGEN,??,ANDA212262,METHYLPREDNISOLONE,METHYLPREDNISOLONE,ORAL,TABLET,,Discontinued,ORIG
ANDA212604,NaN,NaN,2022-02-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212604,openFDA-public,PATRIN,??,ANDA212604,PREGABALIN,PREGABALIN,ORAL,SOLUTION,,Prescription,ORIG
