id,lat,lon,timestamp,source_url,license,provider,country_iso2,kind,title
world-history:wd-Q1429256-war-of-the-league-of-cognac,42.5,12.5,1526-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1429256,CC-BY-SA-4.0,world-history,IT,war,War of the League of Cognac
world-history:wd-Q136192521-q136192521,36.551805555,140.415361111,1528-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q136192521,CC-BY-SA-4.0,world-history,JP,war,Q136192521
world-history:wd-Q1763918-inca-civil-war,-9.4,-76,1529-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1763918,CC-BY-SA-4.0,world-history,PE,war,Inca Civil War
world-history:wd-Q3298746-war-of-the-portuguese-succession,39,-9,1580-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3298746,CC-BY-SA-4.0,world-history,PT,war,War of the Portuguese Succession
world-history:wd-Q1361199-conquest-of-the-khanate-of-sibir,60,105,1581-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1361199,CC-BY-SA-4.0,world-history,RU,war,Conquest of the Khanate of Sibir
world-history:wd-Q524189-cologne-war,50.733888888,7.1,1583-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q524189,CC-BY-SA-4.0,world-history,LU,war,Cologne War
world-history:wd-Q3119092-franco-savoyard-war-1600-1601,45.58333333,6.33333333,1600-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3119092,CC-BY-SA-4.0,world-history,CH,war,Franco-Savoyard War (1600–1601)
world-history:wd-Q1044829-polish-muscovite-war,50.05,19.93,1605-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1044829,CC-BY-SA-4.0,world-history,SK,war,Polish–Muscovite War
world-history:wd-Q1962709-ingrian-war,59.6333,29.3,1610-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1962709,CC-BY-SA-4.0,world-history,EE,war,Ingrian War
world-history:wd-Q3778677-valtellina-war,46.16666667,9.86666667,1620-07-01T00:00:00Z,https://www.wikidata.org/wiki/Q3778677,CC-BY-SA-4.0,world-history,CH,war,Valtellina War
world-history:wd-Q15867770-naval-war-on-lake-constance,47.59371,9.424906,1632-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q15867770,CC-BY-SA-4.0,world-history,CH,war,Naval War on Lake Constance
world-history:wd-Q134877741-patani-siamese-war,6.866666666,101.25,1633-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q134877741,CC-BY-SA-4.0,world-history,MY,war,Patani–Siamese War
world-history:wd-Q699602-cretan-war-of-1645-1669,43.81276,16.21876,1645-06-23T00:00:00Z,https://www.wikidata.org/wiki/Q699602,CC-BY-SA-4.0,world-history,BA,war,Cretan War of 1645-1669
world-history:wd-Q1367977-esopus-wars,41.9338,-74.0197,1659-09-01T00:00:00Z,https://www.wikidata.org/wiki/Q1367977,CC-BY-SA-4.0,world-history,US,war,Esopus Wars
world-history:wd-Q660004-second-russo-turkish-war,49.08,32.67,1676-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q660004,CC-BY-SA-4.0,world-history,UA,war,Second Russo-Turkish War
world-history:wd-Q26799687-austro-turkish-war-of-1716-1718,43.95,20.93,1716-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q26799687,CC-BY-SA-4.0,world-history,RS,war,Austro-Turkish War of 1716–1718
world-history:wd-Q5453254-first-maroon-war,17.983333,-76.8,1728-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5453254,CC-BY-SA-4.0,world-history,CO,war,First Maroon War
world-history:wd-Q2913821-ottoman-persian-war-of-1730-1735,42.26111111,44.12111111,1730-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2913821,CC-BY-SA-4.0,world-history,GE,war,Ottoman–Persian War of 1730–1735
world-history:wd-Q517578-king-george-s-war,50,-100,1744-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q517578,CC-BY-SA-4.0,world-history,CA,war,King George's War
world-history:wd-Q124683233-cattle-war,11.029166666,79.849444444,1756-06-19T00:00:00Z,https://www.wikidata.org/wiki/Q124683233,CC-BY-SA-4.0,world-history,LK,war,Cattle War
world-history:wd-Q617321-anglo-mysore-wars,13,77,1767-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q617321,CC-BY-SA-4.0,world-history,LK,war,Anglo-Mysore wars
world-history:wd-Q2632175-dunmore-s-war,39.918,-80.8048,1774-05-01T00:00:00Z,https://www.wikidata.org/wiki/Q2632175,CC-BY-SA-4.0,world-history,US,war,Dunmore's War
