id,lat,lon,timestamp,source_url,license,title,country,description
wd-Q695379-frankfurt-constitution,50.110555555,8.682222222,1849-03-28T00:00:00Z,https://www.wikidata.org/wiki/Q695379,CC-BY-SA-4.0,Frankfurt Constitution,German Empire of 1848/1849,German constitution of 28 March 1849
wd-Q129186669-constitution-of-california-of-1849,38.575277777,-121.486111111,1849-10-13T00:00:00Z,https://www.wikidata.org/wiki/Q129186669,CC-BY-SA-4.0,Constitution of California of 1849,California,constitution of the US state of California
wd-Q128810167-virginia-constitution-of-1851,37.540833333,-77.436666666,1851-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810167,CC-BY-SA-4.0,Virginia Constitution of 1851,Virginia,constitution of the US state of Virginia
wd-Q6781292-constitution-of-maryland-1851,38.978611111,-76.491944444,1851-06-04T00:00:00Z,https://www.wikidata.org/wiki/Q6781292,CC-BY-SA-4.0,Constitution of Maryland (1851),Maryland,"second constitution of the U.S. state of Maryland, replacing the constitution of 1776"
wd-Q19102374-louisiana-state-constitution-of-1852,29.976111111,-90.078333333,1852-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19102374,CC-BY-SA-4.0,Louisiana State Constitution of 1852,Louisiana,
wd-Q19102374-louisiana-state-constitution-of-1852,30.4475,-91.178611111,1852-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19102374,CC-BY-SA-4.0,Louisiana State Constitution of 1852,Louisiana,
wd-Q28183342-constitution-of-victoria,-37.814166666,144.963055555,1854-03-01T00:00:00Z,https://www.wikidata.org/wiki/Q28183342,CC-BY-SA-4.0,Constitution of Victoria,Victoria,"fundamental law for the state of Victoria, Australia"
wd-Q19054632-constitution-of-the-state-of-florida-1861,30.438333333,-84.280555555,1861-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19054632,CC-BY-SA-4.0,Constitution of the State of Florida 1861,Florida,
wd-Q128998446-georgia-state-constitution-of-1861,33.754444444,-84.389722222,1861-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128998446,CC-BY-SA-4.0,Georgia State Constitution of 1861,Georgia,constitution of the US state of Georgia
wd-Q128795159-louisiana-constitution-of-1864,29.976111111,-90.078333333,1864-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795159,CC-BY-SA-4.0,Louisiana Constitution of 1864,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128795159-louisiana-constitution-of-1864,30.4475,-91.178611111,1864-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795159,CC-BY-SA-4.0,Louisiana Constitution of 1864,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128810168-virginia-constitution-of-1864,37.540833333,-77.436666666,1864-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810168,CC-BY-SA-4.0,Virginia Constitution of 1864,Virginia,constitution of the US state of Virginia
wd-Q5164212-constitution-of-nevada,39.160833333,-119.753888888,1864-10-31T00:00:00Z,https://www.wikidata.org/wiki/Q5164212,CC-BY-SA-4.0,Constitution of Nevada,Nevada,American state constitution
wd-Q6781293-constitution-of-maryland-1864,38.978611111,-76.491944444,1864-11-01T00:00:00Z,https://www.wikidata.org/wiki/Q6781293,CC-BY-SA-4.0,Constitution of Maryland (1864),Maryland,third constitution of the U.S. state of Maryland
wd-Q19054641-constitution-of-the-state-of-florida-1865,30.438333333,-84.280555555,1865-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19054641,CC-BY-SA-4.0,Constitution of the State of Florida 1865,Florida,constitution of the US state of Florida
wd-Q868884-constitution-act-1867,45.424722222,-75.695,1867-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q868884,CC-BY-SA-4.0,"Constitution Act, 1867",Canada,part of the Constitution of Canada
wd-Q868884-constitution-act-1867,51.507222222,-0.1275,1867-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q868884,CC-BY-SA-4.0,"Constitution Act, 1867",United Kingdom of Great Britain and Ireland,part of the Constitution of Canada
wd-Q5164205-constitution-of-maryland-1867,38.978611111,-76.491944444,1867-09-18T00:00:00Z,https://www.wikidata.org/wiki/Q5164205,CC-BY-SA-4.0,Constitution of Maryland (1867),Maryland,constitution of a U.S. State
wd-Q128795160-louisiana-constitution-of-1868,29.976111111,-90.078333333,1868-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795160,CC-BY-SA-4.0,Louisiana Constitution of 1868,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128795160-louisiana-constitution-of-1868,30.4475,-91.178611111,1868-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795160,CC-BY-SA-4.0,Louisiana Constitution of 1868,Louisiana,"constitution of the state of Louisiana, US"
wd-Q19054647-constitution-of-the-state-of-florida-1868,30.438333333,-84.280555555,1868-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19054647,CC-BY-SA-4.0,Constitution of the State of Florida 1868,Florida,constitution of the US state of Florida
wd-Q20727969-mississippi-constitution-of-1868,32.298888888,-90.184722222,1868-05-15T00:00:00Z,https://www.wikidata.org/wiki/Q20727969,CC-BY-SA-4.0,Mississippi Constitution of 1868,Mississippi,third constitution of Mississippi
wd-Q128810169-virginia-constitution-of-1870,37.540833333,-77.436666666,1870-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810169,CC-BY-SA-4.0,Virginia Constitution of 1870,Virginia,constitution of the US state of Virginia
wd-Q19054118-constitution-of-the-commonwealth-of-pennsylvania-1874,40.264554871,-76.883381676,1874-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19054118,CC-BY-SA-4.0,Constitution of the Commonwealth of Pennsylvania 1874,Pennsylvania,constitution of the US state of Pennsylvania
wd-Q129100956-arkansas-constitution-of-1874,34.744444444,-92.288055555,1874-07-14T00:00:00Z,https://www.wikidata.org/wiki/Q129100956,CC-BY-SA-4.0,Arkansas Constitution of 1874,Arkansas,fifth and current constitution of the US state of Arkansas
wd-Q129100956-arkansas-constitution-of-1874,34.744444444,-92.288055555,1874-07-14T00:00:00Z,https://www.wikidata.org/wiki/Q129100956,CC-BY-SA-4.0,Arkansas Constitution of 1874,Arkansas,fifth and current constitution of the US state of Arkansas
wd-Q19070349-nebraska-constitution-of-1875,40.809166666,-96.678055555,1875-11-01T00:00:00Z,https://www.wikidata.org/wiki/Q19070349,CC-BY-SA-4.0,Nebraska Constitution of 1875,Nebraska,constitution of the US state of Nebraska
wd-Q129086087-texas-constitution-of-1876,30.3,-97.733333333,1876-02-15T00:00:00Z,https://www.wikidata.org/wiki/Q129086087,CC-BY-SA-4.0,Texas Constitution of 1876,Texas,constitution of the US state of Texas
wd-Q128795161-louisiana-constitution-of-1879,29.976111111,-90.078333333,1879-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795161,CC-BY-SA-4.0,Louisiana Constitution of 1879,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128795161-louisiana-constitution-of-1879,30.4475,-91.178611111,1879-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795161,CC-BY-SA-4.0,Louisiana Constitution of 1879,Louisiana,"constitution of the state of Louisiana, US"
wd-Q8040315-wyoming-constitution,41.145555555,-104.801944444,1889-11-05T00:00:00Z,https://www.wikidata.org/wiki/Q8040315,CC-BY-SA-4.0,Wyoming Constitution,Wyoming,American state constitution
wd-Q64362976-constitution-of-idaho,43.613611111,-116.237777777,1890-07-03T00:00:00Z,https://www.wikidata.org/wiki/Q64362976,CC-BY-SA-4.0,constitution of Idaho,Idaho,
wd-Q5164208-constitution-of-mississippi-of-1890,32.298888888,-90.184722222,1890-11-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164208,CC-BY-SA-4.0,Constitution of Mississippi of 1890,Mississippi,fourth and current constitution of Mississippi
wd-Q16143192-brazilian-constitution-of-1891,-15.793888888,-47.882777777,1891-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q16143192,CC-BY-SA-4.0,Brazilian Constitution of 1891,Brazil,Brazilian statute between 1891-1934
wd-Q103968104-constitui-o-pol-tica-do-estado-do-amazonas-1891,-3.118888888,-60.021666666,1891-06-27T00:00:00Z,https://www.wikidata.org/wiki/Q103968104,CC-BY-SA-4.0,Constituição Política do Estado do Amazonas (1891),Amazonas,"1891 magna of the State of Amazonas, Brazil"
wd-Q5164173-constitution-of-delaware,39.161662,-75.525709,1897-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164173,CC-BY-SA-4.0,Constitution of Delaware,Delaware,current constitution of Delaware from 1897
wd-Q128795163-louisiana-constitution-of-1898,29.976111111,-90.078333333,1898-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795163,CC-BY-SA-4.0,Louisiana Constitution of 1898,Louisiana,"constitution of the state of Louisiana, US"
